item_id,source,annotator_id,cs_label,to_label,annotated_at,interval_id,ontology_version,is_reevaluation,triggered_refinement
seaexam_0,SeaExam,Khang,CS-E,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_0,SeaExam,Ngoc,CA,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_0,SeaExam,Nhu,CA,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_1,SeaExam,Khang,CS-E,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_1,SeaExam,Ngoc,CS-H,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_1,SeaExam,Nhu,CS-H,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_2,SeaExam,Khang,CS-E,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_2,SeaExam,Ngoc,CS-H,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_2,SeaExam,Nhu,CS-E,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_3,SeaExam,Khang,CS-E,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_3,SeaExam,Ngoc,CS-H,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_3,SeaExam,Nhu,CS-H,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_4,SeaExam,Khang,CA,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_4,SeaExam,Ngoc,CS-H,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_4,SeaExam,Nhu,CA,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_5,SeaExam,Khang,CS-H,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_5,SeaExam,Ngoc,CS-H,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_5,SeaExam,Nhu,CS-H,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_6,SeaExam,Khang,CS-H,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_6,SeaExam,Ngoc,CS-H,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_6,SeaExam,Nhu,CS-H,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_7,SeaExam,Khang,CS-E,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_7,SeaExam,Ngoc,CA,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_7,SeaExam,Nhu,CS-E,NAT,2026-05-02T21:46:09.482Z,1,v1,,
seaexam_8,SeaExam,Khang,CS-E,NAT,2026-05-02T23:46:09.482Z,1,v1,,
seaexam_8,SeaExam,Ngoc,CS-H,NAT,2026-05-03T09:16:58.365Z,1,v1,,
seaexam_8,SeaExam,Nhu,CS-E,NAT,2026-05-02T21:46:09.482Z,1,v1,,
