,missing_count,missing_percent
subset_or_split,99411,77.66
prompt_region_scope,1933,1.51
conversations_id,0,0.0
conversations,0,0.0
turn_count,0,0.0
system_present,0,0.0
source,0,0.0
prompt_tagging_model,0,0.0
prompt_sensitivity,0,0.0
prompt_requires_local_cultural_knowledge,0,0.0
prompt_requires_external_knowledge,0,0.0
prompt_primary_task,0,0.0
prompt_ambiguity_level,0,0.0
prompt_primary_language,0,0.0
prompt_primary_domain,0,0.0
prompt_language_category,0,0.0
prompt_is_natural,0,0.0
prompt_is_coherent,0,0.0
prompt_instruction_specificity,0,0.0
prompt_input_quality,0,0.0
prompt_formality,0,0.0
prompt_complexity,0,0.0
prompt_translated_from_english,0,0.0
