prompt_primary_domain,count
Arts_and_Literature,66350
Food_and_Cuisine,12941
History_and_Heritage,10643
Daily_Life_and_Personal,8599
Education,6358
Travel_and_Tourism,4033
Media_and_Entertainment,3530
Government_and_Politics,3283
Agriculture_and_Fishing,2395
Sports_and_Fitness,1854
Superstitions_Myth_and_Folklore,1671
Traditional_Medicine_and_Alternative_Healing,1572
Religion_and_Belief,1372
Law_and_Justice,1208
Internet_and_Digital_Culture,862
Legal_Rights_and_Access,547
Migrant_Worker_Expat_and_Student_Life,433
Parenting_and_Family,349
