source,count
aisingapore/sea-instruct,282565
BAAI/Infinity-Instruct,63966
sailor2/sailor2-sft-stage1,54708
airesearch/WangchanX-FLAN-v6.1,14756
MengGaoang/AIR,12953
HuggingFaceTB/smoltalk,10951
BAAI/IndustryInstruction,9183
aisingapore/SEASafeguardMix,8796
allenai/tulu-3-sft-mixture,8145
sailor2/sailor2-sft-stage2,7216
nvidia/OpenScience/OS-Q2.5-72B-10,6073
Magpie-Align/Magpie-Llama-3.3-Pro-1M-v0.1,5852
nvidia/OpenScience/OS-Q2.5-32B-10,5689
arcee-ai/The-Tome,4320
allenai/WildChat-1M,3868
Magpie-Align/Magpie-Llama-3.1-Pro-1M-v0.1,3756
nvidia/AceReason-1.1-SFT,1937
Magpie-Align/Magpie-Qwen2.5-Pro-1M-v0.1,1440
Josephgflowers/Finance-Instruct-500k,890
aisingapore/sea-instruct-wangchanevolkit,378
aisingapore/deepmath_translated,267
facebook/natural_reasoning,227
AI-MO/NuminaMath-1.5,198
miriad/miriad-4.4M,187
open-r1/Mixture-of-Thoughts,146
aisingapore/SEA-Safeguard-Train,141
Magpie-Align/Magpie-Reasoning-V1-150K,129
open-thoughts/OpenThoughts3-1.2M,120
Magpie-Align/Magpie-Reasoning-V2-250K-CoT-Llama3,94
nvidia/Nemotron-PrismMath,65
lingshu-medical-mllm/ReasonMed,48
nvidia/OpenScience/OS-Q3-235B-4,6
